Date,Price
2000-1,190.75
2000-2,214.69
2000-3,228.11
2000-4,224.75
2000-5,230.71
2000-6,210.88
2000-7,194.83
2000-8,190.64
2000-9,189.76
2000-10,190.17
2000-11,183.75
2000-12,181.25
2001-1,175.29
2001-2,182.74
2001-3,175.83
2001-4,173.28
2001-5,173.38
2001-6,178.85
2001-7,173.61
2001-8,168.8
2001-9,165.5
2001-10,160.83
2001-11,162.48
2001-12,150
2002-1,160.18
2002-2,175.03
2002-3,189.26
2002-4,196.31
2002-5,194.07
2002-6,223.65
2002-7,230.98
2002-8,215.23
2002-9,234.36
2002-10,223.17
2002-11,216.4
2002-12,217.45
2003-1,230.43
2003-2,254.94
2003-3,285.25
2003-4,279.76
2003-5,269.18
2003-6,283.57
2003-7,274.78
2003-8,276.1
2003-9,291.5
2003-10,326.55
2003-11,352.91
2003-12,327
2004-1,313.86
2004-2,347.88
2004-3,351.43
2004-4,345.33
2004-5,356.53
2004-6,351.16
2004-7,329.73
2004-8,312.67
2004-9,320.66
2004-10,330.55
2004-11,316.82
2004-12,292.8
2005-1,304.43
2005-2,338.03
2005-3,351.41
2005-4,350.23
2005-5,354
2005-6,377.27
2005-7,413.17
2005-8,396.41
2005-9,413.27
2005-10,432.4
2005-11,411.78
2005-12,427.26
2006-1,466.44
2006-2,549.36
2006-3,552.13
2006-4,541.64
2006-5,587.5
2006-6,652.41
2006-7,626.88
2006-8,507.77
2006-9,401.98
2006-10,444.53
2006-11,393.05
2006-12,395.25
2007-1,487.1
2007-2,573.03
2007-3,569
2007-4,553.45
2007-5,524.83
2007-6,488.6
2007-7,443.91
2007-8,467.23
2007-9,496.83
2007-10,500.4
2007-11,533.38
2007-12,531.55
2008-1,570.48
2008-2,606.83
2008-3,590.92
2008-4,584.93
2008-5,609.7
2008-6,688.74
2008-7,691.98
2008-8,613.76
2008-9,627.19
2008-10,457.75
2008-11,448.23
2008-12,334.65
2009-1,385.37
2009-2,406.14
2009-3,437.86
2009-4,425.43
2009-5,414.15
2009-6,387.48
2009-7,391.11
2009-8,460.9
2009-9,472.9
2009-10,483.89
2009-11,516.15
2009-12,587.05
2010-1,657.25
2010-2,702.31
2010-3,734.39
2010-4,756.26
2010-5,702.03
2010-6,709.77
2010-7,693.52
2010-8,691.05
2010-9,712.08
2010-10,763.79
2010-11,844.43
2010-12,944.29
2011-1,997.38
2011-2,1059.53
2011-3,987.09
2011-4,1044.6
2011-5,943.33
2011-6,923.07
2011-7,874.21
2011-8,859
2011-9,854.9
2011-10,806
2011-11,692.38
2011-12,668.26
2012-1,671.26
2012-2,776
2012-3,782.91
2012-4,751.87
2012-5,719.05
2012-6,663.71
2012-7,643.52
2012-8,567.45
2012-9,586.71
2012-10,616.2
2012-11,560.95
2012-12,576.98
2013-1,614.2
2013-2,615.26
2013-3,613.25
2013-4,581.25
2013-5,584.02
2013-6,549.95
2013-7,523.52
2013-8,527.03
2013-9,555.4
2013-10,528.45
2013-11,512.45
2013-12,535.88
2014-1,485.37
2014-2,468.11
2014-3,490.5
2014-4,474.55
2014-5,457.78
2014-6,461.93
2014-7,453.9
2014-8,426.69
2014-9,393.13
2014-10,380.57
2014-11,397.13
2014-12,362.23
2015-1,376.69
2015-2,383.33
2015-3,420.18
2015-4,411.31
2015-5,447.58
2015-6,496.52
2015-7,438.23
2015-8,417.53
2015-9,412.85
2015-10,403.93
2015-11,375.45
2015-12,358.67
2016-1,347.53
2016-2,355.58
2016-3,408.52
2016-4,473.14
2016-5,485
2016-6,443.64
2016-7,438.03
2016-8,438.98
2016-9,456.13
2016-10,487.7
2016-11,538.45
2016-12,615.88
2017-1,710.7
2017-2,798.36
2017-3,731.8
2017-4,640.69
2017-5,630.52
2017-6,573.08
2017-7,517.57
2017-8,543.52
2017-9,552.31
2017-10,489.36
2017-11,474.89
2017-12,473.11
2018-1,474.95
2018-2,456.69
2018-3,471.24
2018-4,445.48
2018-5,487.03
2018-6,439.83
2018-7,415.39
2018-8,406.95
2018-9,409.18
2018-10,401.5
2018-11,380.63
2018-12,377
2019-1,393.29
2019-2,410.5
2019-3,474.19
2019-4,495.52
2019-5,484.3
2019-6,496.61
2019-7,476.23
2019-8,439.19
2019-9,438.28
2019-10,425.61
2019-11,440.55
2019-12,455.17
2020-1,459.6
2020-2,456.73
2020-3,435.66
2020-4,413.26
2020-5,432.16
2020-6,479.9
2020-7,467.2
2020-8,467.71
2020-9,484.57
2020-10,576.14
2020-11,620.76
2020-12,582.79
2021-1,550.26
2021-2,587.91
2021-3,680.2
2021-4,623.4
2021-5,636.76
2021-6,564.62
2021-7,494.38
2021-8,522.13
2021-9,497.24
2021-10,521.2
2021-11,553.64
2021-12,539.45
2022-1,572.08
2022-2,658.14
2022-3,683.57
2022-4,666.47
2022-5,670.69
2022-6,632.69
2022-7,532.28
2022-8,514.73
2022-9,476.76
2022-10,466.42
2022-11,472.58
2022-12,470.21
2023-1,502.05
2023-2,538.56
2023-3,530.11
2023-4,495
2023-5,488.76
2023-6,497.7
2023-7,490.18
2023-8,471.09
2023-9,481.08
2023-10,532.2
2023-11,549.67
2023-12,537.63
2024-1,585.74
2024-2,684.19
2024-3,740.37
